0,0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,Alabama,US,4/28/20 2:32,32.3182,-86.9023,6539,228,0,6311,1,139.4571047,73997,872,3.486771678,84000001,USA,1578.132341,13.33537238
0,0,Alaska,US,4/28/20 2:32,61.3707,-152.4044,345,9,218,336,2,57.71653319,16256,10,2.608695652,84000002,USA,2719.536126,2.898550725
0,0,American Samoa,US,4/28/20 2:32,-14.271,-170.132,0,0,0,,60,0,3,,,16,ASM,5.391707554,
0,0,Arizona,US,4/28/20 2:32,33.7298,-111.4312,6725,275,1418,6450,4,92.39265656,66543,1051,4.089219331,84000004,USA,914.2133153,15.62825279
0,0,Arkansas,US,4/28/20 2:32,34.9697,-92.3731,3069,51,987,3018,5,118.5387406,40457,109,1.661779081,84000005,USA,1562.633375,3.551645487
0,0,California,US,4/28/20 2:32,36.1162,-119.6816,44966,1779,0,43187,6,114.6839649,553409,4878,3.956322555,84000006,USA,1411.447279,10.84819642
0,0,Colorado,US,4/28/20 2:32,39.0598,-105.3111,13879,706,2150,13173,8,244.9172048,63274,2438,5.086821817,84000008,USA,1116.571166,17.56610707
0,0,Connecticut,US,4/28/20 2:32,41.5978,-72.7554,25997,2012,0,23985,9,729.1699097,79811,1758,7.739354541,84000009,USA,2238.557513,6.762318729
0,0,Delaware,US,4/28/20 2:32,39.3185,-75.5071,4162,125,996,4037,10,427.4136238,19616,325,3.003363767,84000010,USA,2014.45114,7.808745795
0,0,Diamond Princess,US,4/28/20 2:32,,,49,0,0,49,88888,,,,0,84088888,USA,,
0,0,District of Columbia,US,4/28/20 2:32,38.8974,-77.0268,3892,185,659,3707,11,551.4708487,18416,402,4.753340185,84000011,USA,2609.426297,10.32887975
0,0,Florida,US,4/28/20 2:32,27.7663,-81.6868,32138,1088,0,31050,12,151.3615427,356463,5211,3.385400461,84000012,USA,1678.847147,16.21445018
0,0,Georgia,US,4/28/20 2:32,33.0406,-83.6431,24302,995,0,23307,13,239.6790419,127169,4681,4.094313225,84000013,USA,1254.207229,19.26178915
0,0,Grand Princess,US,4/28/20 2:32,,,103,3,0,100,99999,,,,2.912621359,84099999,USA,,
0,0,Guam,US,4/28/20 2:32,13.4443,144.7937,141,5,128,136,66,85.85572585,1568,3,3.546099291,316,GUM,954.7643839,2.127659574
0,0,Hawaii,US,4/28/20 2:32,21.0943,-157.4983,607,16,488,591,15,42.87371114,29010,68,2.635914333,84000015,USA,2049.038485,11.20263591
0,0,Idaho,US,4/28/20 2:32,44.2405,-114.4788,1897,56,983,1841,16,117.7897258,19895,169,2.95202952,84000016,USA,1235.332944,8.908803374
0,0,Illinois,US,4/28/20 2:32,40.3495,-88.9861,45883,1983,0,43900,17,390.9710009,227628,4672,4.321862128,84000017,USA,1939.627901,10.1824205
0,0,Indiana,US,4/28/20 2:32,39.8494,-86.2583,15961,844,0,15117,18,243.9030354,84476,1493,5.28788923,84000018,USA,1290.893604,9.354050498
0,0,Iowa,US,4/28/20 2:32,42.0115,-93.2105,5868,127,2021,5741,19,223.9085318,38150,300,2.164280845,84000019,USA,1455.710717,5.112474438
0,0,Kansas,US,4/28/20 2:32,38.5266,-96.7265,3473,126,0,3347,20,142.424322,27167,496,3.627987331,84000020,USA,1114.092011,14.28160092
0,0,Kentucky,US,4/28/20 2:32,37.6681,-84.6701,4156,213,1511,3943,21,121.4032179,48474,1274,5.125120308,84000021,USA,1416.000862,30.65447546
0,0,Louisiana,US,4/28/20 2:32,31.1695,-91.8678,27068,1740,17303,25328,22,588.7847255,146989,1683,6.428254766,84000022,USA,3197.31336,6.217674006
0,0,Maine,US,4/28/20 2:32,44.6939,-69.3819,1023,51,549,972,23,87.13754444,17807,161,4.985337243,84000023,USA,1516.772487,15.73802542
0,0,Maryland,US,4/28/20 2:32,39.0639,-76.8021,19487,945,1263,18542,24,327.8798856,104976,4101,4.849386771,84000024,USA,1766.281053,21.0447991
0,0,Massachusetts,US,4/28/20 2:32,42.2302,-71.5301,56462,3003,0,53459,25,822.6089095,244887,5237,5.318621374,84000025,USA,3567.81956,9.27526478
0,0,Michigan,US,4/28/20 2:32,43.3266,-84.5361,38210,3407,8342,34803,26,479.5877729,157760,2667,8.916514002,84000026,USA,1980.103822,6.979848207
0,0,Minnesota,US,4/28/20 2:32,45.6945,-93.9002,3811,286,1842,3525,27,77.0452159,61268,861,7.504591971,84000027,USA,1238.626683,22.59249541
0,0,Mississippi,US,4/28/20 2:32,32.7416,-89.6787,6094,229,0,5865,28,210.485886,63462,1060,3.757794552,84000028,USA,2191.968378,17.39415819
0,0,Missouri,US,4/28/20 2:32,38.4561,-92.2884,7305,343,0,6962,29,124.6702766,71106,679,4.6954141,84000029,USA,1213.525624,9.295003422
0,0,Montana,US,4/28/20 2:32,46.9219,-110.4544,449,14,352,435,30,51.84835338,13033,61,3.118040089,84000030,USA,1504.98795,13.5857461
0,0,Nebraska,US,4/28/20 2:32,41.1254,-98.2681,3358,56,0,3302,31,220.1574539,22363,,1.667659321,84000031,USA,1466.164723,
0,0,Nevada,US,4/28/20 2:32,38.3135,-117.0554,4700,206,0,4494,32,155.7995384,38813,,4.382978723,84000032,USA,1286.605847,
0,0,New Hampshire,US,4/28/20 2:32,43.4525,-71.5639,1938,60,779,1878,33,145.9174731,19724,242,3.095975232,84000033,USA,1485.075458,12.4871001
0,0,New Jersey,US,4/28/20 2:32,40.2989,-74.521,111188,6044,0,105144,34,1251.808394,227775,6407,5.4358384,84000034,USA,2564.401347,5.76231248
0,0,New Mexico,US,4/28/20 2:32,34.8405,-106.2485,2825,99,650,2726,35,169.4119397,56615,412,3.504424779,84000035,USA,3395.135209,14.5840708
0,0,New York,US,4/28/20 2:32,42.1657,-74.9481,291996,22668,23887,269328,36,1731.780838,826095,57103,7.763120043,84000036,USA,4899.435236,19.55608981
0,0,North Carolina,US,4/28/20 2:32,35.6301,-79.8064,9428,340,0,9088,37,95.06068588,109920,473,3.606279168,84000037,USA,1108.30193,5.016970725
0,0,North Dakota,US,4/28/20 2:32,47.5289,-99.784,942,19,350,923,38,155.3383969,22434,77,2.016985138,84000038,USA,3699.428447,8.174097665
0,0,Northern Mariana Islands,US,4/28/20 2:32,15.0979,145.6739,14,2,11,12,69,25.38807486,65,,14.28571429,580,MNP,117.8732047,
0,0,Ohio,US,4/28/20 2:32,40.3888,-82.7649,16325,753,0,15572,39,146.0999153,119391,3232,4.612557427,84000039,USA,1068.484839,19.79785605
